TH: 1 ACC: 0.9999786571050497 MCC: 0.9834594341510869 [[177.0, 6.0], [0.0, 280941.0]]
TH: 0.1 ACC: 0.9999893285525249 MCC: 0.9916263576227832 [[177.0, 3.0], [0.0, 280944.0]]
TH: 0.01 ACC: 0.9999964428508417 MCC: 0.9971693653626836 [[176.0, 0.0], [1.0, 280947.0]]
TH: 0.001 ACC: 0.9999928857016832 MCC: 0.9943306928178581 [[175.0, 0.0], [2.0, 280947.0]]
TH: 0.0001 ACC: 0.9999928857016832 MCC: 0.9943306928178581 [[175.0, 0.0], [2.0, 280947.0]]
TH: 1e-05 ACC: 0.9999928857016832 MCC: 0.9943306928178581 [[175.0, 0.0], [2.0, 280947.0]]
TH: 1e-06 ACC: 0.9999928857016832 MCC: 0.9943306928178581 [[175.0, 0.0], [2.0, 280947.0]]
TH: 1e-07 ACC: 0.9999928857016832 MCC: 0.9943306928178581 [[175.0, 0.0], [2.0, 280947.0]]
TH: 1e-08 ACC: 0.9999893285525249 MCC: 0.9914839133264057 [[174.0, 0.0], [3.0, 280947.0]]
TH: 1e-09 ACC: 0.9999857714033665 MCC: 0.9886289568557017 [[173.0, 0.0], [4.0, 280947.0]]
TH: 1e-10 ACC: 0.9999857714033665 MCC: 0.9886289568557017 [[173.0, 0.0], [4.0, 280947.0]]
TH: 1e-11 ACC: 0.9999822142542081 MCC: 0.9857657523594845 [[172.0, 0.0], [5.0, 280947.0]]
TH: 1e-12 ACC: 0.9999786571050497 MCC: 0.9828942277571968 [[171.0, 0.0], [6.0, 280947.0]]
TH: 1e-13 ACC: 0.999971542806733 MCC: 0.9771259246129302 [[169.0, 0.0], [8.0, 280947.0]]
TH: 1e-14 ACC: 0.9999573142100995 MCC: 0.9654861856203546 [[165.0, 0.0], [12.0, 280947.0]]
TH: 1e-15 ACC: 0.9999573142100995 MCC: 0.9654861856203546 [[165.0, 0.0], [12.0, 280947.0]]
TH: 1e-16 ACC: 0.9999252998676741 MCC: 0.9387705035013415 [[156.0, 0.0], [21.0, 280947.0]]
TH: 1e-17 ACC: 0.9998790569286151 MCC: 0.8987835355204219 [[143.0, 0.0], [34.0, 280947.0]]
TH: 1e-18 ACC: 0.9998114710946059 MCC: 0.8369186559762861 [[124.0, 0.0], [53.0, 280947.0]]
TH: 1e-19 ACC: 0.9997794567521805 MCC: 0.805961639703339 [[115.0, 0.0], [62.0, 280947.0]]
